Grade Distribution By Course,,,
,,,
,,,
Course: AG 111  Student Total: 34  Credit Hours: 3  Grade Pts: 291.3  GPA Hours: 90  GPA: 3.24,,,
Grade: A,  Credits: 3,  Student Count: 16,  Pct: 47.06
Grade: A-,  Credits: 3,  Student Count: 3,  Pct: 8.82
Grade: B,  Credits: 3,  Student Count: 5,  Pct: 14.71
Grade: B+,  Credits: 3,  Student Count: 1,  Pct: 2.94
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 2.94
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 2.94
Grade: F,  Credits: 3,  Student Count: 3,  Pct: 8.82
Grade: W,  Credits: 3,  Student Count: 4,  Pct: 11.76
,,,
Course: AG 200  Student Total: 55  Credit Hours: 2  Grade Pts: 378.4  GPA Hours: 108  GPA: 3.5,,,
Grade: A,  Credits: 2,  Student Count: 37,  Pct: 67.27
Grade: A-,  Credits: 2,  Student Count: 6,  Pct: 10.91
Grade: B,  Credits: 2,  Student Count: 3,  Pct: 5.45
Grade: B-,  Credits: 2,  Student Count: 1,  Pct: 1.82
Grade: C,  Credits: 2,  Student Count: 2,  Pct: 3.64
Grade: D+,  Credits: 2,  Student Count: 2,  Pct: 3.64
Grade: D-,  Credits: 2,  Student Count: 1,  Pct: 1.82
Grade: F,  Credits: 2,  Student Count: 2,  Pct: 3.64
Grade: W,  Credits: 2,  Student Count: 1,  Pct: 1.82
,,,
Course: AG 301  Student Total: 105  Credit Hours: 3  Grade Pts: 1013.4  GPA Hours: 309  GPA: 3.28,,,
Grade: A,  Credits: 3,  Student Count: 46,  Pct: 43.81
Grade: A-,  Credits: 3,  Student Count: 15,  Pct: 14.29
Grade: B,  Credits: 3,  Student Count: 10,  Pct: 9.52
Grade: B+,  Credits: 3,  Student Count: 13,  Pct: 12.38
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 1.9
Grade: C,  Credits: 3,  Student Count: 4,  Pct: 3.81
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 1.9
Grade: C-,  Credits: 3,  Student Count: 3,  Pct: 2.86
Grade: D,  Credits: 3,  Student Count: 1,  Pct: .95
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: .95
Grade: F,  Credits: 3,  Student Count: 6,  Pct: 5.71
Grade: W,  Credits: 3,  Student Count: 2,  Pct: 1.9
,,,
Course: AG 311  Student Total: 98  Credit Hours: 3  Grade Pts: 877.2  GPA Hours: 264  GPA: 3.32,,,
Grade: A,  Credits: 3,  Student Count: 33,  Pct: 33.67
Grade: A-,  Credits: 3,  Student Count: 15,  Pct: 15.31
Grade: B,  Credits: 3,  Student Count: 12,  Pct: 12.24
Grade: B+,  Credits: 3,  Student Count: 12,  Pct: 12.24
Grade: B-,  Credits: 3,  Student Count: 5,  Pct: 5.1
Grade: C,  Credits: 3,  Student Count: 3,  Pct: 3.06
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 2.04
Grade: D+,  Credits: 3,  Student Count: 4,  Pct: 4.08
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 2.04
Grade: S,  Credits: 3,  Student Count: 3,  Pct: 3.06
