Grade Distribution By Course,,,
,,,
,,,
Academic Learning Services,,,
Academic Learning Services,,,
,,,
Grade: U,  Credits: 4,  Student Count: 2,  Pct: 4.35
Grade: W,  Credits: 4,  Student Count: 12,  Pct: 26.09
,,,
Course: GEO 306  Student Total: 15  Credit Hours: 3  Grade Pts: 78  GPA Hours: 39  GPA: 2,,,
Grade: A,  Credits: 3,  Student Count: 1,  Pct: 6.67
Grade: B+,  Credits: 3,  Student Count: 1,  Pct: 6.67
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 13.33
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 6.67
Grade: C+,  Credits: 3,  Student Count: 3,  Pct: 20
Grade: C-,  Credits: 3,  Student Count: 2,  Pct: 13.33
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 6.67
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 13.33
Grade: S,  Credits: 3,  Student Count: 2,  Pct: 13.33
,,,
Course: GEO 307  Student Total: 31  Credit Hours: 3  Grade Pts: 143.7  GPA Hours: 60  GPA: 2.4,,,
Grade: A,  Credits: 3,  Student Count: 2,  Pct: 6.45
Grade: A-,  Credits: 3,  Student Count: 4,  Pct: 12.9
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 6.45
Grade: B+,  Credits: 3,  Student Count: 1,  Pct: 3.23
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 3.23
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 6.45
Grade: C-,  Credits: 3,  Student Count: 3,  Pct: 9.68
Grade: D,  Credits: 3,  Student Count: 2,  Pct: 6.45
Grade: D-,  Credits: 3,  Student Count: 2,  Pct: 6.45
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 3.23
Grade: S,  Credits: 3,  Student Count: 4,  Pct: 12.9
Grade: W,  Credits: 3,  Student Count: 7,  Pct: 22.58
,,,
Course: GEO 308  Student Total: 43  Credit Hours: 3  Grade Pts: 268.5  GPA Hours: 99  GPA: 2.71,,,
Grade: A,  Credits: 3,  Student Count: 2,  Pct: 4.65
Grade: A-,  Credits: 3,  Student Count: 4,  Pct: 9.3
Grade: B,  Credits: 3,  Student Count: 11,  Pct: 25.58
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 4.65
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 4.65
Grade: C,  Credits: 3,  Student Count: 3,  Pct: 6.98
Grade: C+,  Credits: 3,  Student Count: 3,  Pct: 6.98
Grade: C-,  Credits: 3,  Student Count: 4,  Pct: 9.3
Grade: D,  Credits: 3,  Student Count: 2,  Pct: 4.65
Grade: S,  Credits: 3,  Student Count: 4,  Pct: 9.3
Grade: W,  Credits: 3,  Student Count: 6,  Pct: 13.95
,,,
Course: GEO 380  Student Total: 26  Credit Hours: 3  Grade Pts: 224.4  GPA Hours: 75  GPA: 2.99,,,
Grade: A,  Credits: 3,  Student Count: 3,  Pct: 11.54
Grade: A-,  Credits: 3,  Student Count: 6,  Pct: 23.08
Grade: B,  Credits: 3,  Student Count: 6,  Pct: 23.08
Grade: B+,  Credits: 3,  Student Count: 4,  Pct: 15.38
Grade: B-,  Credits: 3,  Student Count: 3,  Pct: 11.54
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 3.85
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 7.69
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 3.85
,,,
Course: GEO 495  Student Total: 18  Credit Hours: 6  Grade Pts: 301.2  GPA Hours: 108  GPA: 2.79,,,
Grade: A,  Credits: 6,  Student Count: 1,  Pct: 5.56
Grade: A-,  Credits: 6,  Student Count: 2,  Pct: 11.11
Grade: B,  Credits: 6,  Student Count: 2,  Pct: 11.11
Grade: B+,  Credits: 6,  Student Count: 4,  Pct: 22.22
Grade: B-,  Credits: 6,  Student Count: 1,  Pct: 5.56
Grade: C,  Credits: 6,  Student Count: 3,  Pct: 16.67
Grade: C+,  Credits: 6,  Student Count: 4,  Pct: 22.22
Grade: C-,  Credits: 6,  Student Count: 1,  Pct: 5.56
,,,
Course: GEOG 102  Student Total: 44  Credit Hours: 4  Grade Pts: 492.8  GPA Hours: 152  GPA: 3.24,,,
Grade: A,  Credits: 4,  Student Count: 17,  Pct: 38.64
Grade: A-,  Credits: 4,  Student Count: 6,  Pct: 13.64
Grade: B,  Credits: 4,  Student Count: 3,  Pct: 6.82
Grade: B+,  Credits: 4,  Student Count: 2,  Pct: 4.55
Grade: B-,  Credits: 4,  Student Count: 2,  Pct: 4.55
Grade: C,  Credits: 4,  Student Count: 3,  Pct: 6.82
Grade: C+,  Credits: 4,  Student Count: 1,  Pct: 2.27
Grade: C-,  Credits: 4,  Student Count: 1,  Pct: 2.27
Grade: D+,  Credits: 4,  Student Count: 1,  Pct: 2.27
Grade: D-,  Credits: 4,  Student Count: 1,  Pct: 2.27
Grade: F,  Credits: 4,  Student Count: 1,  Pct: 2.27
Grade: S,  Credits: 4,  Student Count: 3,  Pct: 6.82
Grade: W,  Credits: 4,  Student Count: 3,  Pct: 6.82
,,,
Course: GEOG 105  Student Total: 45  Credit Hours: 3  Grade Pts: 359.1  GPA Hours: 111  GPA: 3.24,,,
Grade: A,  Credits: 3,  Student Count: 15,  Pct: 33.33
Grade: A-,  Credits: 3,  Student Count: 3,  Pct: 6.67
Grade: B,  Credits: 3,  Student Count: 4,  Pct: 8.89
Grade: B+,  Credits: 3,  Student Count: 5,  Pct: 11.11
Grade: B-,  Credits: 3,  Student Count: 3,  Pct: 6.67
Grade: C,  Credits: 3,  Student Count: 4,  Pct: 8.89
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 2.22
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 2.22
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 2.22
Grade: S,  Credits: 3,  Student Count: 3,  Pct: 6.67
Grade: W,  Credits: 3,  Student Count: 5,  Pct: 11.11
,,,
Course: GEOG 106  Student Total: 114  Credit Hours: 3  Grade Pts: 985.8  GPA Hours: 297  GPA: 3.32,,,
