Grade Distribution By Course,,,
,,,
College of Ag,,,
Agricultural Education,,,
,,,
Grade: U,  Credits: 3,  Student Count: 1,  Pct: 3.85
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 3.85
,,,
College of Agricultural Sci,,,
Animal and Rangeland Sci,,,
,,,
Course: ANS 121  Student Total: 202  Credit Hours: 4  Grade Pts: 1881.2  GPA Hours: 620  GPA: 3.03,,,
Grade: A,  Credits: 4,  Student Count: 31,  Pct: 15.35
Grade: A-,  Credits: 4,  Student Count: 25,  Pct: 12.38
Grade: B,  Credits: 4,  Student Count: 21,  Pct: 10.4
Grade: B+,  Credits: 4,  Student Count: 22,  Pct: 10.89
Grade: B-,  Credits: 4,  Student Count: 24,  Pct: 11.88
Grade: C,  Credits: 4,  Student Count: 9,  Pct: 4.46
Grade: C+,  Credits: 4,  Student Count: 11,  Pct: 5.45
Grade: C-,  Credits: 4,  Student Count: 3,  Pct: 1.49
Grade: D,  Credits: 4,  Student Count: 1,  Pct: .5
Grade: D+,  Credits: 4,  Student Count: 2,  Pct: .99
Grade: D-,  Credits: 4,  Student Count: 2,  Pct: .99
Grade: F,  Credits: 4,  Student Count: 4,  Pct: 1.98
Grade: S,  Credits: 4,  Student Count: 42,  Pct: 20.79
Grade: U,  Credits: 4,  Student Count: 3,  Pct: 1.49
Grade: W,  Credits: 4,  Student Count: 2,  Pct: .99
,,,
Course: ANS 207  Student Total: 20  Credit Hours: 2  Grade Pts: 115.2  GPA Hours: 36  GPA: 3.2,,,
Grade: A,  Credits: 2,  Student Count: 11,  Pct: 55
Grade: B,  Credits: 2,  Student Count: 2,  Pct: 10
Grade: B+,  Credits: 2,  Student Count: 1,  Pct: 5
Grade: C,  Credits: 2,  Student Count: 1,  Pct: 5
Grade: D,  Credits: 2,  Student Count: 1,  Pct: 5
Grade: D+,  Credits: 2,  Student Count: 1,  Pct: 5
Grade: F,  Credits: 2,  Student Count: 1,  Pct: 5
Grade: U,  Credits: 2,  Student Count: 1,  Pct: 5
Grade: W,  Credits: 2,  Student Count: 1,  Pct: 5
,,,
Course: ANS 215  Student Total: 51  Credit Hours: 3  Grade Pts: 553.8  GPA Hours: 153  GPA: 3.62,,,
Grade: A,  Credits: 3,  Student Count: 37,  Pct: 72.55
Grade: A-,  Credits: 3,  Student Count: 1,  Pct: 1.96
Grade: B,  Credits: 3,  Student Count: 4,  Pct: 7.84
Grade: B+,  Credits: 3,  Student Count: 4,  Pct: 7.84
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 1.96
