Grade Distribution By Course,,,
,,,
,,,
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 3.45
Grade: W,  Credits: 3,  Student Count: 4,  Pct: 13.79
,,,
Course: GEO 308  Student Total: 34  Credit Hours: 3  Grade Pts: 252  GPA Hours: 87  GPA: 2.9,,,
Grade: A,  Credits: 3,  Student Count: 3,  Pct: 8.82
Grade: A-,  Credits: 3,  Student Count: 3,  Pct: 8.82
Grade: B,  Credits: 3,  Student Count: 13,  Pct: 38.24
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 5.88
Grade: C,  Credits: 3,  Student Count: 4,  Pct: 11.76
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 5.88
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 2.94
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 2.94
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 2.94
Grade: W,  Credits: 3,  Student Count: 4,  Pct: 11.76
,,,
Course: GEO 309  Student Total: 56  Credit Hours: 3  Grade Pts: 492.3  GPA Hours: 141  GPA: 3.49,,,
Grade: A,  Credits: 3,  Student Count: 31,  Pct: 55.36
Grade: A-,  Credits: 3,  Student Count: 4,  Pct: 7.14
Grade: B,  Credits: 3,  Student Count: 5,  Pct: 8.93
Grade: B+,  Credits: 3,  Student Count: 1,  Pct: 1.79
Grade: C,  Credits: 3,  Student Count: 2,  Pct: 3.57
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 1.79
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 1.79
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 3.57
Grade: S,  Credits: 3,  Student Count: 2,  Pct: 3.57
Grade: W,  Credits: 3,  Student Count: 7,  Pct: 12.5
,,,
Course: GEO 380  Student Total: 25  Credit Hours: 3  Grade Pts: 165.3  GPA Hours: 63  GPA: 2.62,,,
Grade: A,  Credits: 3,  Student Count: 4,  Pct: 16
Grade: A-,  Credits: 3,  Student Count: 1,  Pct: 4
Grade: B,  Credits: 3,  Student Count: 3,  Pct: 12
Grade: B+,  Credits: 3,  Student Count: 3,  Pct: 12
Grade: B-,  Credits: 3,  Student Count: 3,  Pct: 12
Grade: C,  Credits: 3,  Student Count: 3,  Pct: 12
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 4
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 4
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 8
Grade: S,  Credits: 3,  Student Count: 4,  Pct: 16
,,,
Course: GEO 495  Student Total: 19  Credit Hours: 6  Grade Pts: 337.2  GPA Hours: 114  GPA: 2.96,,,
Grade: A-,  Credits: 6,  Student Count: 2,  Pct: 10.53
Grade: B,  Credits: 6,  Student Count: 9,  Pct: 47.37
Grade: B+,  Credits: 6,  Student Count: 2,  Pct: 10.53
Grade: B-,  Credits: 6,  Student Count: 5,  Pct: 26.32
Grade: C-,  Credits: 6,  Student Count: 1,  Pct: 5.26
,,,
Course: GEOG 102  Student Total: 68  Credit Hours: 4  Grade Pts: 784.4  GPA Hours: 224  GPA: 3.5,,,
Grade: A,  Credits: 4,  Student Count: 32,  Pct: 47.06
Grade: A-,  Credits: 4,  Student Count: 6,  Pct: 8.82
Grade: B,  Credits: 4,  Student Count: 5,  Pct: 7.35
Grade: B+,  Credits: 4,  Student Count: 4,  Pct: 5.88
Grade: B-,  Credits: 4,  Student Count: 3,  Pct: 4.41
Grade: C,  Credits: 4,  Student Count: 2,  Pct: 2.94
Grade: C+,  Credits: 4,  Student Count: 2,  Pct: 2.94
Grade: D,  Credits: 4,  Student Count: 1,  Pct: 1.47
Grade: F,  Credits: 4,  Student Count: 1,  Pct: 1.47
Grade: S,  Credits: 4,  Student Count: 7,  Pct: 10.29
Grade: W,  Credits: 4,  Student Count: 5,  Pct: 7.35
,,,
Course: GEOG 105  Student Total: 27  Credit Hours: 3  Grade Pts: 282.6  GPA Hours: 78  GPA: 3.62,,,
Grade: A,  Credits: 3,  Student Count: 17,  Pct: 62.96
Grade: A-,  Credits: 3,  Student Count: 1,  Pct: 3.7
Grade: B+,  Credits: 3,  Student Count: 4,  Pct: 14.81
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 3.7
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 3.7
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 7.41
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 3.7
,,,
Course: GEOG 106  Student Total: 95  Credit Hours: 3  Grade Pts: 885  GPA Hours: 267  GPA: 3.31,,,
Grade: A,  Credits: 3,  Student Count: 65,  Pct: 68.42
Grade: A-,  Credits: 3,  Student Count: 2,  Pct: 2.11
Grade: B,  Credits: 3,  Student Count: 1,  Pct: 1.05
Grade: B+,  Credits: 3,  Student Count: 3,  Pct: 3.16
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 1.05
Grade: C,  Credits: 3,  Student Count: 2,  Pct: 2.11
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 2.11
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 1.05
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 1.05
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 1.05
Grade: F,  Credits: 3,  Student Count: 10,  Pct: 10.53
Grade: S,  Credits: 3,  Student Count: 2,  Pct: 2.11
Grade: U,  Credits: 3,  Student Count: 1,  Pct: 1.05
Grade: W,  Credits: 3,  Student Count: 3,  Pct: 3.16
,,,
Course: GEOG 201  Student Total: 65  Credit Hours: 4  Grade Pts: 658.4  GPA Hours: 228  GPA: 2.89,,,
Grade: A,  Credits: 4,  Student Count: 14,  Pct: 21.54
Grade: A-,  Credits: 4,  Student Count: 5,  Pct: 7.69
Grade: B,  Credits: 4,  Student Count: 13,  Pct: 20
Grade: B+,  Credits: 4,  Student Count: 3,  Pct: 4.62
Grade: B-,  Credits: 4,  Student Count: 7,  Pct: 10.77
Grade: C,  Credits: 4,  Student Count: 5,  Pct: 7.69
Grade: C+,  Credits: 4,  Student Count: 3,  Pct: 4.62
Grade: C-,  Credits: 4,  Student Count: 2,  Pct: 3.08
Grade: D,  Credits: 4,  Student Count: 2,  Pct: 3.08
Grade: F,  Credits: 4,  Student Count: 3,  Pct: 4.62
Grade: S,  Credits: 4,  Student Count: 1,  Pct: 1.54
Grade: W,  Credits: 4,  Student Count: 7,  Pct: 10.77
,,,
Course: GEOG 300  Student Total: 95  Credit Hours: 3  Grade Pts: 897.3  GPA Hours: 261  GPA: 3.44,,,
Grade: A,  Credits: 3,  Student Count: 55,  Pct: 57.89
Grade: A-,  Credits: 3,  Student Count: 8,  Pct: 8.42
Grade: B,  Credits: 3,  Student Count: 8,  Pct: 8.42
Grade: B+,  Credits: 3,  Student Count: 4,  Pct: 4.21
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 1.05
Grade: C+,  Credits: 3,  Student Count: 3,  Pct: 3.16
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 1.05
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 1.05
Grade: F,  Credits: 3,  Student Count: 6,  Pct: 6.32
Grade: S,  Credits: 3,  Student Count: 6,  Pct: 6.32
Grade: U,  Credits: 3,  Student Count: 1,  Pct: 1.05
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 1.05
,,,
Course: GEOG 323  Student Total: 23  Credit Hours: 4  Grade Pts: 318  GPA Hours: 88  GPA: 3.61,,,
Grade: A,  Credits: 4,  Student Count: 13,  Pct: 56.52
Grade: A-,  Credits: 4,  Student Count: 5,  Pct: 21.74
Grade: B,  Credits: 4,  Student Count: 1,  Pct: 4.35
Grade: C,  Credits: 4,  Student Count: 1,  Pct: 4.35
Grade: C+,  Credits: 4,  Student Count: 1,  Pct: 4.35
Grade: C-,  Credits: 4,  Student Count: 1,  Pct: 4.35
Grade: W,  Credits: 4,  Student Count: 1,  Pct: 4.35
,,,
Course: GEOG 340  Student Total: 56  Credit Hours: 3  Grade Pts: 505.2  GPA Hours: 156  GPA: 3.24,,,
Grade: A,  Credits: 3,  Student Count: 23,  Pct: 41.07
Grade: A-,  Credits: 3,  Student Count: 9,  Pct: 16.07
Grade: B,  Credits: 3,  Student Count: 3,  Pct: 5.36
Grade: B+,  Credits: 3,  Student Count: 5,  Pct: 8.93
Grade: C,  Credits: 3,  Student Count: 5,  Pct: 8.93
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 3.57
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 1.79
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 1.79
Grade: F,  Credits: 3,  Student Count: 3,  Pct: 5.36
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 1.79
Grade: W,  Credits: 3,  Student Count: 3,  Pct: 5.36
,,,
Course: GEOG 370  Student Total: 33  Credit Hours: 4  Grade Pts: 378.8  GPA Hours: 100  GPA: 3.79,,,
Grade: A,  Credits: 4,  Student Count: 18,  Pct: 54.55
Grade: A-,  Credits: 4,  Student Count: 2,  Pct: 6.06
Grade: B,  Credits: 4,  Student Count: 4,  Pct: 12.12
Grade: B+,  Credits: 4,  Student Count: 1,  Pct: 3.03
Grade: W,  Credits: 4,  Student Count: 8,  Pct: 24.24
,,,
Coll of Earth  Ocean and Atmos,,,
Oceanography,,,
,,,
Course: ATS 201  Student Total: 66  Credit Hours: 4  Grade Pts: 725.6  GPA Hours: 220  GPA: 3.3,,,
Grade: A,  Credits: 4,  Student Count: 19,  Pct: 28.79
Grade: A-,  Credits: 4,  Student Count: 10,  Pct: 15.15
Grade: B,  Credits: 4,  Student Count: 6,  Pct: 9.09
Grade: B+,  Credits: 4,  Student Count: 10,  Pct: 15.15
Grade: B-,  Credits: 4,  Student Count: 2,  Pct: 3.03
Grade: C,  Credits: 4,  Student Count: 2,  Pct: 3.03
Grade: C+,  Credits: 4,  Student Count: 2,  Pct: 3.03
Grade: C-,  Credits: 4,  Student Count: 2,  Pct: 3.03
Grade: F,  Credits: 4,  Student Count: 2,  Pct: 3.03
Grade: S,  Credits: 4,  Student Count: 1,  Pct: 1.52
Grade: W,  Credits: 4,  Student Count: 10,  Pct: 15.15
,,,
Course: OC 201  Student Total: 56  Credit Hours: 4  Grade Pts: 464  GPA Hours: 160  GPA: 2.9,,,
Grade: A,  Credits: 4,  Student Count: 13,  Pct: 23.21
Grade: A-,  Credits: 4,  Student Count: 2,  Pct: 3.57
Grade: B,  Credits: 4,  Student Count: 6,  Pct: 10.71
Grade: B+,  Credits: 4,  Student Count: 2,  Pct: 3.57
Grade: B-,  Credits: 4,  Student Count: 2,  Pct: 3.57
Grade: C,  Credits: 4,  Student Count: 7,  Pct: 12.5
Grade: C+,  Credits: 4,  Student Count: 4,  Pct: 7.14
Grade: C-,  Credits: 4,  Student Count: 2,  Pct: 3.57
Grade: F,  Credits: 4,  Student Count: 2,  Pct: 3.57
Grade: S,  Credits: 4,  Student Count: 4,  Pct: 7.14
Grade: W,  Credits: 4,  Student Count: 12,  Pct: 21.43
,,,
Course: AG 111  Student Total: 12  Credit Hours: 3  Grade Pts: 92.4  GPA Hours: 33  GPA: 2.8,,,
Grade: A,  Credits: 3,  Student Count: 1,  Pct: 8.33
Grade: A-,  Credits: 3,  Student Count: 3,  Pct: 25
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 16.67
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 16.67
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 8.33
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 8.33
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 8.33
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 8.33
,,,
Course: AG 301  Student Total: 71  Credit Hours: 3  Grade Pts: 762  GPA Hours: 201  GPA: 3.79,,,
Grade: A,  Credits: 3,  Student Count: 50,  Pct: 70.42
Grade: A-,  Credits: 3,  Student Count: 10,  Pct: 14.08
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 2.82
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 2.82
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 1.41
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 1.41
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 1.41
Grade: S,  Credits: 3,  Student Count: 3,  Pct: 4.23
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 1.41
,,,
Course: AG 311  Student Total: 83  Credit Hours: 3  Grade Pts: 798.9  GPA Hours: 222  GPA: 3.6,,,
Grade: A,  Credits: 3,  Student Count: 49,  Pct: 59.04
Grade: A-,  Credits: 3,  Student Count: 9,  Pct: 10.84
Grade: B,  Credits: 3,  Student Count: 1,  Pct: 1.2
Grade: B+,  Credits: 3,  Student Count: 3,  Pct: 3.61
