Grade Distribution By Course,,,
,,,
,,,
Course: AG 111  Student Total: 29  Credit Hours: 3  Grade Pts: 265.5  GPA Hours: 78  GPA: 3.4,,,
Grade: A,  Credits: 3,  Student Count: 12,  Pct: 41.38
Grade: A-,  Credits: 3,  Student Count: 6,  Pct: 20.69
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 6.9
Grade: B+,  Credits: 3,  Student Count: 1,  Pct: 3.45
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 3.45
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 6.9
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 3.45
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 3.45
Grade: W,  Credits: 3,  Student Count: 3,  Pct: 10.34
,,,
Course: AG 301  Student Total: 179  Credit Hours: 3  Grade Pts: 1932.9  GPA Hours: 510  GPA: 3.79,,,
Grade: A,  Credits: 3,  Student Count: 128,  Pct: 71.51
Grade: A-,  Credits: 3,  Student Count: 15,  Pct: 8.38
Grade: B,  Credits: 3,  Student Count: 7,  Pct: 3.91
Grade: B+,  Credits: 3,  Student Count: 10,  Pct: 5.59
Grade: B-,  Credits: 3,  Student Count: 6,  Pct: 3.35
Grade: C,  Credits: 3,  Student Count: 1,  Pct: .56
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 1.12
Grade: F,  Credits: 3,  Student Count: 1,  Pct: .56
Grade: I/C,  Credits: 3,  Student Count: 1,  Pct: .56
Grade: I/C-,  Credits: 3,  Student Count: 1,  Pct: .56
Grade: S,  Credits: 3,  Student Count: 3,  Pct: 1.68
Grade: W,  Credits: 3,  Student Count: 4,  Pct: 2.23
,,,
Course: AG 311  Student Total: 173  Credit Hours: 3  Grade Pts: 1769.7  GPA Hours: 501  GPA: 3.53,,,
Grade: A,  Credits: 3,  Student Count: 101,  Pct: 58.38
Grade: A-,  Credits: 3,  Student Count: 13,  Pct: 7.51
Grade: B,  Credits: 3,  Student Count: 15,  Pct: 8.67
Grade: B+,  Credits: 3,  Student Count: 15,  Pct: 8.67
