Grade Distribution By Course,,,
,,,
,,,
Academic Learning Services,,,
Academic Learning Services,,,
,,,
Grade: B+,  Credits: 3,  Student Count: 10,  Pct: 8.77
Grade: B-,  Credits: 3,  Student Count: 5,  Pct: 4.39
Grade: C,  Credits: 3,  Student Count: 2,  Pct: 1.75
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 1.75
Grade: C-,  Credits: 3,  Student Count: 2,  Pct: 1.75
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: .88
Grade: F,  Credits: 3,  Student Count: 10,  Pct: 8.77
Grade: S,  Credits: 3,  Student Count: 4,  Pct: 3.51
Grade: U,  Credits: 3,  Student Count: 1,  Pct: .88
Grade: W,  Credits: 3,  Student Count: 3,  Pct: 2.63
,,,
Course: GEOG 340  Student Total: 33  Credit Hours: 3  Grade Pts: 333.9  GPA Hours: 90  GPA: 3.71,,,
Grade: A,  Credits: 3,  Student Count: 24,  Pct: 72.73
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 6.06
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 6.06
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 3.03
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 3.03
Grade: I/C-,  Credits: 3,  Student Count: 1,  Pct: 3.03
Grade: W,  Credits: 3,  Student Count: 2,  Pct: 6.06
,,,
Course: GEOG 480  Student Total: 29  Credit Hours: 4  Grade Pts: 378.8  GPA Hours: 104  GPA: 3.64,,,
Grade: A,  Credits: 4,  Student Count: 15,  Pct: 51.72
Grade: A-,  Credits: 4,  Student Count: 3,  Pct: 10.34
Grade: B,  Credits: 4,  Student Count: 2,  Pct: 6.9
Grade: B+,  Credits: 4,  Student Count: 4,  Pct: 13.79
Grade: B-,  Credits: 4,  Student Count: 1,  Pct: 3.45
Grade: C-,  Credits: 4,  Student Count: 1,  Pct: 3.45
Grade: W,  Credits: 4,  Student Count: 3,  Pct: 10.34
,,,
Coll of Earth  Ocean and Atmos,,,
Geosciences,,,
,,,
Course: GEO 101  Student Total: 49  Credit Hours: 4  Grade Pts: 280.8  GPA Hours: 132  GPA: 2.13,,,
Grade: A,  Credits: 4,  Student Count: 4,  Pct: 8.16
Grade: A-,  Credits: 4,  Student Count: 1,  Pct: 2.04
Grade: B,  Credits: 4,  Student Count: 5,  Pct: 10.2
Grade: B+,  Credits: 4,  Student Count: 1,  Pct: 2.04
Grade: B-,  Credits: 4,  Student Count: 3,  Pct: 6.12
Grade: C,  Credits: 4,  Student Count: 9,  Pct: 18.37
Grade: C-,  Credits: 4,  Student Count: 2,  Pct: 4.08
Grade: D,  Credits: 4,  Student Count: 2,  Pct: 4.08
