Grade Distribution By Course,,,
,,,
,,,
Course: AED 553  Student Total: 13  Credit Hours: 3  Grade Pts: 151.2  GPA Hours: 39  GPA: 3.88,,,
Grade: A,  Credits: 3,  Student Count: 10,  Pct: 76.92
Grade: A-,  Credits: 3,  Student Count: 2,  Pct: 15.38
Grade: B,  Credits: 3,  Student Count: 1,  Pct: 7.69
,,,
Course: AED 555  Student Total: 10  Credit Hours: 3  Grade Pts: 108  GPA Hours: 30  GPA: 3.6,,,
Grade: A,  Credits: 3,  Student Count: 4,  Pct: 40
Grade: A-,  Credits: 3,  Student Count: 2,  Pct: 20
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 20
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 20
,,,
Course: AED 557  Student Total: 10  Credit Hours: 3  Grade Pts: 114.9  GPA Hours: 30  GPA: 3.83,,,
Grade: A,  Credits: 3,  Student Count: 7,  Pct: 70
Grade: A-,  Credits: 3,  Student Count: 1,  Pct: 10
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 20
,,,
Course: AG 111  Student Total: 53  Credit Hours: 3  Grade Pts: 462.3  GPA Hours: 141  GPA: 3.28,,,
Grade: A,  Credits: 3,  Student Count: 25,  Pct: 47.17
Grade: A-,  Credits: 3,  Student Count: 4,  Pct: 7.55
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 3.77
Grade: B+,  Credits: 3,  Student Count: 6,  Pct: 11.32
Grade: B-,  Credits: 3,  Student Count: 3,  Pct: 5.66
Grade: C-,  Credits: 3,  Student Count: 2,  Pct: 3.77
Grade: D,  Credits: 3,  Student Count: 2,  Pct: 3.77
Grade: F,  Credits: 3,  Student Count: 3,  Pct: 5.66
Grade: W,  Credits: 3,  Student Count: 6,  Pct: 11.32
,,,
Course: AG 199  Student Total: 28  Credit Hours: Variable  Grade Pts: 84.8  GPA Hours: 26  GPA: 3.26,,,
Grade: A,  Credits: 1,  Student Count: 11,  Pct: 39.29
Grade: A-,  Credits: 1,  Student Count: 3,  Pct: 10.71
Grade: B,  Credits: 1,  Student Count: 3,  Pct: 10.71
Grade: B+,  Credits: 1,  Student Count: 2,  Pct: 7.14
Grade: B-,  Credits: 1,  Student Count: 3,  Pct: 10.71
Grade: C,  Credits: 1,  Student Count: 1,  Pct: 3.57
Grade: C+,  Credits: 1,  Student Count: 1,  Pct: 3.57
Grade: C-,  Credits: 1,  Student Count: 1,  Pct: 3.57
Grade: F,  Credits: 1,  Student Count: 1,  Pct: 3.57
Grade: W,  Credits: 1,  Student Count: 2,  Pct: 7.14
,,,
Course: AG 301  Student Total: 129  Credit Hours: 3  Grade Pts: 1174.8  GPA Hours: 339  GPA: 3.47,,,
Grade: A,  Credits: 3,  Student Count: 53,  Pct: 41.09
Grade: A-,  Credits: 3,  Student Count: 19,  Pct: 14.73
Grade: B,  Credits: 3,  Student Count: 11,  Pct: 8.53
Grade: B+,  Credits: 3,  Student Count: 9,  Pct: 6.98
Grade: B-,  Credits: 3,  Student Count: 7,  Pct: 5.43
Grade: C,  Credits: 3,  Student Count: 5,  Pct: 3.88
Grade: C+,  Credits: 3,  Student Count: 4,  Pct: 3.1
Grade: C-,  Credits: 3,  Student Count: 5,  Pct: 3.88
Grade: S,  Credits: 3,  Student Count: 8,  Pct: 6.2
Grade: W,  Credits: 3,  Student Count: 8,  Pct: 6.2
,,,
Course: AG 391  Student Total: 46  Credit Hours: 3  Grade Pts: 363.6  GPA Hours: 126  GPA: 2.89,,,
Grade: A,  Credits: 3,  Student Count: 9,  Pct: 19.57
Grade: A-,  Credits: 3,  Student Count: 6,  Pct: 13.04
Grade: B,  Credits: 3,  Student Count: 8,  Pct: 17.39
Grade: B+,  Credits: 3,  Student Count: 3,  Pct: 6.52
Grade: B-,  Credits: 3,  Student Count: 5,  Pct: 10.87
Grade: C,  Credits: 3,  Student Count: 4,  Pct: 8.7
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 4.35
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 2.17
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 2.17
Grade: F,  Credits: 3,  Student Count: 3,  Pct: 6.52
Grade: W,  Credits: 3,  Student Count: 4,  Pct: 8.7
,,,
Course: AG 421  Student Total: 20  Credit Hours: 3  Grade Pts: 165  GPA Hours: 57  GPA: 2.89,,,
Grade: A,  Credits: 3,  Student Count: 4,  Pct: 20
Grade: A-,  Credits: 3,  Student Count: 3,  Pct: 15
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 10
Grade: B+,  Credits: 3,  Student Count: 3,  Pct: 15
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 10
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 5
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 10
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 10
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 5
,,,
Course: AG 435  Student Total: 10  Credit Hours: 3  Grade Pts: 79.8  GPA Hours: 27  GPA: 2.96,,,
Grade: A,  Credits: 3,  Student Count: 1,  Pct: 10
Grade: A-,  Credits: 3,  Student Count: 1,  Pct: 10
Grade: B,  Credits: 3,  Student Count: 4,  Pct: 40
Grade: B+,  Credits: 3,  Student Count: 1,  Pct: 10
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 10
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 10
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 10
,,,
Course: AG 499  Student Total: 39  Credit Hours: Variable  Grade Pts: 344.4  GPA Hours: 117  GPA: 2.94,,,
Grade: A,  Credits: 3,  Student Count: 5,  Pct: 12.82
Grade: A-,  Credits: 3,  Student Count: 7,  Pct: 17.95
Grade: B,  Credits: 3,  Student Count: 3,  Pct: 7.69
Grade: B+,  Credits: 3,  Student Count: 8,  Pct: 20.51
Grade: B-,  Credits: 3,  Student Count: 6,  Pct: 15.38
Grade: C,  Credits: 3,  Student Count: 2,  Pct: 5.13
Grade: C+,  Credits: 3,  Student Count: 3,  Pct: 7.69
Grade: C-,  Credits: 3,  Student Count: 3,  Pct: 7.69
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 2.56
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 2.56
,,,
Course: LEAD 342  Student Total: 31  Credit Hours: 3  Grade Pts: 269.1  GPA Hours: 84  GPA: 3.2,,,
Grade: A,  Credits: 3,  Student Count: 5,  Pct: 16.13
Grade: A-,  Credits: 3,  Student Count: 5,  Pct: 16.13
Grade: B,  Credits: 3,  Student Count: 6,  Pct: 19.35
Grade: B+,  Credits: 3,  Student Count: 5,  Pct: 16.13
Grade: B-,  Credits: 3,  Student Count: 3,  Pct: 9.68
Grade: C,  Credits: 3,  Student Count: 2,  Pct: 6.45
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 6.45
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 3.23
Grade: W,  Credits: 3,  Student Count: 2,  Pct: 6.45
,,,
